dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,ZC_MIX,ZC_MIX,LSPV_MIX,LSPV,ZC_MIX,PPV,ZC_MIX,LSPV_MIX,ZC_MIX,ZC_MIX,LSPV,LSPV,LSPV,ZC_MIX,ZC_MIX,LSPV,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,MPV,ZC_MIX,ZC_MIX,PPV,ZC_MIX,ZC_MIX,ZC_MIX
Adiac,PPV_MIX,PPV_MIX,PPV_MIX,LSPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_DIFF,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,ZC_DIFF,ZC_DIFF
ArrowHead,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,LSPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,LSPV,PPV_MIX,PPV_MIX,PPV_MIX
Beef,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,MIPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV,MIPV_DIFF,PPV
BeetleFly,PPV_MIX,PPV,PPV,PPV_MIX,MIPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV_MIX,PPV_MIX,ZC,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV_MIX
BirdChicken,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,PPV_MIX,ZC_DIFF,ZC,PPV_MIX,ZC,PPV_DIFF,PPV_MIX,ZC,PPV_DIFF,ZC_DIFF,PPV_MIX,PPV_MIX,PPV_DIFF,PPV_MIX,PPV_MIX,LSPV
BME,PPV_MIX,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV_MIX,MPV,PPV,MPV,PPV_MIX,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV
Car,ZC_MIX,ZC_MIX,PPV,ZC_MIX,PPV,PPV,ZC_MIX,ZC_MIX,ZC_MIX,PPV_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,MPV,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,ZC_MIX,PPV,ZC_MIX
CBF,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV_MIX,PPV,PPV,PPV_MIX,PPV,PPV,PPV,PPV,PPV,PPV,MPV,PPV
Chinatown,ZC,PPV_MIX,MIPV,PPV,PPV,PPV_MIX,PPV_MIX,PPV_MIX,ZC,PPV_MIX,PPV_MIX,ZC,PPV,PPV,PPV_MIX,PPV,PPV_MIX,ZC,PPV_MIX,PPV,PPV_MIX,MIPV_MIX,PPV,MIPV,PPV,PPV_MIX,PPV,PPV_MIX,MIPV_MIX,PPV
