dataset,BEST COMBINATION,PERFORMANCE
ACSF1,PPV,0.848
Adiac,PPV_MIX,0.8359762
ArrowHead,MIPV,0.8908571
Beef,MIPV,0.79555565
BeetleFly,PPV_DIFF,0.9566667
BirdChicken,ZC_MIX,0.945
BME,ZC,1
Car,MIPV,0.92555547
CBF,ZC,0.9972221
Chinatown,MIPV,0.9703597
ChlorineConcentration,MIPV_DIFF,0.7805642
CinCECGTorso,MIPV_DIFF,0.99657
Coffee,ZC_DIFF,1
Computers,PPV_DIFF,0.86986667
CricketX,PPV,0.83085465
CricketY,PPV,0.84914523
CricketZ,PPV_MIX,0.8487179
Crop,PPV_MIX,0.7707084
DiatomSizeReduction,MIPV,0.96100223
DistalPhalanxOutlineAgeGroup,MIPV_DIFF,0.80719435
DistalPhalanxOutlineCorrect,ZC_MIX,0.8415458
DistalPhalanxTW,PPV_DIFF,0.7093525
Earthquakes,LSPV_MIX,0.747482
ECG200,MPV,0.9
ECG5000,MIPV,0.94834083
ECGFiveDays,LSPV,0.99856746
ElectricDevices,PPV_MIX,0.9010722
EOGHorizontalSignal,PPV_MIX,0.8650092
EOGVerticalSignal,PPV_MIX,0.8142725
EthanolLevel,LSPV,0.7061333
FaceAll,MPV,0.98643005
FaceFour,PPV,0.91439396
FacesUCR,MIPV,0.9698862
FiftyWords,MIPV,0.8424176
Fish,LSPV_DIFF,0.9862856
FordA,LSPV_DIFF,0.9585101
FordB,LSPV_MIX,0.9343621
FreezerRegularTrain,PPV_MIX,0.9987251
FreezerSmallTrain,PPV_MIX,0.98449117
GunPoint,LSPV_MIX,0.9993334
GunPointAgeSpan,MPV,0.99672997
GunPointMaleVersusFemale,PPV_MIX,1
GunPointOldVersusYoung,PPV,1
Ham,PPV,0.8596825
HandOutlines,MIPV_DIFF,0.9531531
Haptics,LSPV,0.54134196
Herring,MIPV_MIX,0.6322917
HouseTwenty,PPV_DIFF,0.97899157
InlineSkate,ZC_MIX,0.5422424
InsectEPGRegularTrain,PPV,1
InsectEPGSmallTrain,LSPV_DIFF,0.9994646
InsectWingbeatSound,MIPV_MIX,0.6752525
ItalyPowerDemand,MIPV_MIX,0.96417236
LargeKitchenAppliances,LSPV_MIX,0.9464
Lightning2,PPV,0.78469944
Lightning7,PPV_MIX,0.80639285
Mallat,MPV_MIX,0.97530925
Meat,MPV,0.9883334
MedicalImages,PPV,0.8086843
MiddlePhalanxOutlineAgeGroup,MIPV_DIFF,0.67748916
MiddlePhalanxOutlineCorrect,MIPV_DIFF,0.8538373
MiddlePhalanxTW,MIPV_DIFF,0.5677489
MixedShapesRegularTrain,ZC_DIFF,0.98471475
MixedShapesSmallTrain,ZC_DIFF,0.9622406
MoteStrain,ZC,0.9296325
NonInvasiveFetalECGThorax1,MPV_MIX,0.9627142
NonInvasiveFetalECGThorax2,MPV_MIX,0.97124684
OliveOil,MPV,0.91555554
OSULeaf,ZC_DIFF,0.98140496
PhalangesOutlinesCorrect,LSPV_MIX,0.8549728
Phoneme,MIPV_DIFF,0.3578762
PigAirwayPressure,LSPV_MIX,0.9203525
PigArtPressure,PPV,0.96618587
PigCVP,ZC,0.9222756
Plane,PPV,1
PowerCons,MIPV,0.9751853
ProximalPhalanxOutlineAgeGroup,ZC,0.8512194
ProximalPhalanxOutlineCorrect,LSPV_DIFF,0.9068728
ProximalPhalanxTW,ZC,0.80991864
RefrigerationDevices,ZC_MIX,0.79760003
Rock,ZC,0.89199996
ScreenType,PPV_MIX,0.6802667
SemgHandGenderCh2,MIPV,0.9376113
SemgHandMovementCh2,MIPV_MIX,0.75022215
SemgHandSubjectCh2,MIPV_MIX,0.91088885
ShapeletSim,LSPV,1
ShapesAll,LSPV,0.9490001
SmallKitchenAppliances,MIPV_DIFF,0.8375111
SmoothSubspace,MPV_MIX,0.9726666
SonyAIBORobotSurface1,PPV,0.95452017
SonyAIBORobotSurface2,LSPV_MIX,0.9579224
StarLightCurves,PPV,0.9816172
Strawberry,PPV_MIX,0.9805405
SwedishLeaf,PPV_MIX,0.9773333
Symbols,PPV_MIX,0.9754774
SyntheticControl,ZC,0.9954445
ToeSegmentation1,ZC,0.94795316
ToeSegmentation2,MPV_DIFF,0.95461535
Trace,PPV,1
TwoLeadECG,LSPV,0.9989758
TwoPatterns,MIPV,0.9998083
UMD,MIPV,0.9898148
UWaveGestureLibraryAll,MIPV_MIX,0.98485947
UWaveGestureLibraryX,MIPV,0.8765122
UWaveGestureLibraryY,PPV_MIX,0.80669075
UWaveGestureLibraryZ,PPV_MIX,0.8165923
Wafer,MIPV_DIFF,0.9999838
Wine,MIPV,0.95555556
WordSynonyms,MIPV,0.77993745
Worms,ZC_MIX,0.76709956
WormsTwoClass,ZC_DIFF,0.8121213
Yoga,PPV_MIX,0.9391444
