dataset,MEAN Accuracy
ACSF1,0.8356666666666664
Adiac,0.832225063938619
ArrowHead,0.8813333333333332
Beef,0.7744444444444445
BeetleFly,0.9499999999999998
BirdChicken,0.9066666666666665
BME,0.9982222222222223
Car,0.9111111111111111
CBF,0.9944074074074074
Chinatown,0.9667638483965013
ChlorineConcentration,0.774314236111111
CinCECGTorso,0.9941787439613528
Coffee,0.9976190476190477
Computers,0.8633333333333335
CricketX,0.83
CricketY,0.8464102564102561
CricketZ,0.8453846153846153
Crop,0.7701587301587302
DiatomSizeReduction,0.9421568627450979
DistalPhalanxOutlineAgeGroup,0.8040767386091126
DistalPhalanxOutlineCorrect,0.8391304347826086
DistalPhalanxTW,0.7021582733812949
Earthquakes,0.7443645083932855
ECG200,0.8976666666666666
ECG5000,0.9476814814814815
ECGFiveDays,0.9946960898180409
ElectricDevices,0.900527385120823
EOGHorizontalSignal,0.8562615101289134
EOGVerticalSignal,0.8052486187845305
EthanolLevel,0.7041333333333334
FaceAll,0.9841420118343194
FaceFour,0.9140151515151516
FacesUCR,0.9661626016260164
FiftyWords,0.8392673992673993
Fish,0.9815238095238094
FordA,0.957979797979798
FordB,0.9321810699588478
FreezerRegularTrain,0.9980818713450293
FreezerSmallTrain,0.9826315789473683
GunPoint,0.9982222222222222
GunPointAgeSpan,0.995042194092827
GunPointMaleVersusFemale,0.9998945147679325
GunPointOldVersusYoung,1.0
Ham,0.8485714285714286
HandOutlines,0.9433333333333334
Haptics,0.5175324675324675
Herring,0.6182291666666667
HouseTwenty,0.9705882352941178
InlineSkate,0.5383030303030303
InsectEPGRegularTrain,1.0
InsectEPGSmallTrain,0.996251673360107
InsectWingbeatSound,0.6652525252525252
ItalyPowerDemand,0.9614512471655329
LargeKitchenAppliances,0.9385777777777776
Lightning2,0.7579234972677595
Lightning7,0.8027397260273973
Mallat,0.9739872068230276
Meat,0.9877777777777778
MedicalImages,0.8074122807017544
MiddlePhalanxOutlineAgeGroup,0.6690476190476191
MiddlePhalanxOutlineCorrect,0.8484536082474228
MiddlePhalanxTW,0.5562770562770563
MixedShapesRegularTrain,0.9836288659793815
MixedShapesSmallTrain,0.9589278350515464
MoteStrain,0.926384451544196
NonInvasiveFetalECGThorax1,0.9605428329092451
NonInvasiveFetalECGThorax2,0.9693977947413063
OliveOil,0.9099999999999999
OSULeaf,0.9797520661157024
PhalangesOutlinesCorrect,0.8535742035742037
Phoneme,0.3563818565400844
PigAirwayPressure,0.8884615384615383
PigArtPressure,0.9559294871794871
PigCVP,0.9193910256410256
Plane,1.0
PowerCons,0.9714814814814814
ProximalPhalanxOutlineAgeGroup,0.8471544715447157
ProximalPhalanxOutlineCorrect,0.9077892325315007
ProximalPhalanxTW,0.8087804878048782
RefrigerationDevices,0.7996444444444444
Rock,0.8713333333333331
ScreenType,0.6668444444444445
SemgHandGenderCh2,0.9342222222222223
SemgHandMovementCh2,0.7345185185185185
SemgHandSubjectCh2,0.9106666666666666
ShapeletSim,0.9931481481481481
ShapesAll,0.948
SmallKitchenAppliances,0.8382222222222222
SmoothSubspace,0.9633333333333332
SonyAIBORobotSurface1,0.947642817526345
SonyAIBORobotSurface2,0.9524309199020636
StarLightCurves,0.9814149263396471
Strawberry,0.9810810810810812
SwedishLeaf,0.9742399999999999
Symbols,0.9738358458961475
SyntheticControl,0.9945555555555554
ToeSegmentation1,0.9425438596491227
ToeSegmentation2,0.9494871794871792
Trace,1.0
TwoLeadECG,0.9985074626865672
TwoPatterns,0.9996249999999999
UMD,0.9886574074074075
UWaveGestureLibraryAll,0.9818257956448911
UWaveGestureLibraryX,0.8724362553508281
UWaveGestureLibraryY,0.8066536385631863
UWaveGestureLibraryZ,0.8143867485576027
Wafer,0.999956738048886
Wine,0.9302469135802469
WordSynonyms,0.7773772204806687
Worms,0.7692640692640692
WormsTwoClass,0.7995670995670997
Yoga,0.9355444444444444
