dataset,MEAN Accuracy HSelFRocket
ACSF1,0.8466666666666668
Adiac,0.8358056265984656
ArrowHead,0.8803809523809524
Beef,0.7788888888888889
BeetleFly,0.9516666666666667
BirdChicken,0.9066666666666663
BME,0.9977777777777779
Car,0.9205555555555556
CBF,0.9958888888888889
Chinatown,0.9659863945578232
ChlorineConcentration,0.7757986111111113
CinCECGTorso,0.9927777777777779
Coffee,0.9976190476190477
Computers,0.8668000000000001
CricketX,0.829059829059829
CricketY,0.8488888888888888
CricketZ,0.8460683760683758
Crop,0.769559523809524
DiatomSizeReduction,0.9441176470588233
DistalPhalanxOutlineAgeGroup,0.8052757793764989
DistalPhalanxOutlineCorrect,0.8413043478260871
DistalPhalanxTW,0.7043165467625898
Earthquakes,0.7448441247002398
ECG200,0.8973333333333334
ECG5000,0.9476814814814817
ECGFiveDays,0.9944638017808749
ElectricDevices,0.9013919508926641
EOGHorizontalSignal,0.853683241252302
EOGVerticalSignal,0.807182320441989
EthanolLevel,0.7072
FaceAll,0.98396449704142
FaceFour,0.9128787878787878
FacesUCR,0.9662601626016262
FiftyWords,0.8375824175824177
Fish,0.9828571428571428
FordA,0.9558333333333333
FordB,0.9319753086419753
FreezerRegularTrain,0.9981520467836258
FreezerSmallTrain,0.9808538011695905
GunPointAgeSpan,0.9951476793248946
GunPoint,0.9984444444444444
GunPointMaleVersusFemale,1.0
GunPointOldVersusYoung,1.0
Ham,0.8526984126984128
HandOutlines,0.9459459459459459
Haptics,0.5376623376623377
Herring,0.6125
HouseTwenty,0.9717086834733895
InlineSkate,0.5260606060606061
InsectEPGRegularTrain,1.0
InsectEPGSmallTrain,0.9978580990629183
InsectWingbeatSound,0.6645791245791247
ItalyPowerDemand,0.9612244897959183
LargeKitchenAppliances,0.9386666666666666
Lightning2,0.7770491803278691
Lightning7,0.7981735159817351
Mallat,0.9610803127221037
Meat,0.9894444444444446
MedicalImages,0.807061403508772
MiddlePhalanxOutlineAgeGroup,0.669047619047619
MiddlePhalanxOutlineCorrect,0.852348224513173
MiddlePhalanxTW,0.5582251082251083
MixedShapesRegularTrain,0.9816632302405499
MixedShapesSmallTrain,0.9567422680412372
MoteStrain,0.9242811501597444
NonInvasiveFetalECGThorax1,0.9622391857506363
NonInvasiveFetalECGThorax2,0.9699575911789652
OliveOil,0.9166666666666666
OSULeaf,0.9783746556473829
PhalangesOutlinesCorrect,0.8527195027195026
Phoneme,0.35335794655414904
PigAirwayPressure,0.907371794871795
PigArtPressure,0.9620192307692307
PigCVP,0.9110576923076924
Plane,1.0
PowerCons,0.9711111111111111
ProximalPhalanxOutlineAgeGroup,0.8460162601626016
ProximalPhalanxOutlineCorrect,0.9064146620847653
ProximalPhalanxTW,0.8061788617886182
RefrigerationDevices,0.7848000000000002
Rock,0.8740000000000001
ScreenType,0.6736888888888889
SemgHandGenderCh2,0.9354999999999999
SemgHandMovementCh2,0.7368148148148148
SemgHandSubjectCh2,0.9119259259259259
ShapeletSim,0.9931481481481481
ShapesAll,0.9478888888888889
SmallKitchenAppliances,0.836622222222222
SmoothSubspace,0.9624444444444445
SonyAIBORobotSurface1,0.9483638380476982
SonyAIBORobotSurface2,0.951066806575726
StarLightCurves,0.9815930063137444
Strawberry,0.9808108108108109
SwedishLeaf,0.9766933333333331
Symbols,0.9729313232830823
SyntheticControl,0.9894444444444442
ToeSegmentation1,0.9416666666666668
ToeSegmentation2,0.9497435897435895
Trace,1.0
TwoLeadECG,0.9980977465613111
TwoPatterns,0.9978750000000001
UMD,0.988888888888889
UWaveGestureLibraryAll,0.9835938954029406
UWaveGestureLibraryX,0.8716452633538061
UWaveGestureLibraryY,0.8063651591289782
UWaveGestureLibraryZ,0.815214963707426
Wafer,0.9999675535366647
Wine,0.9314814814814815
WordSynonyms,0.7765412748171368
Worms,0.7545454545454545
WormsTwoClass,0.7943722943722943
Yoga,0.9386666666666665
