dataset,BEST COMBINATION,PERFORMANCE
ACSF1,LSPV_MIX,0.858
Adiac,PPV_MIX,0.82864445
ArrowHead,LSPV_MIX,0.8914286
Beef,PPV_MIX,0.7977778
BeetleFly,ZC_DIFF,0.91833335
BirdChicken,ZC_DIFF,0.9250001
BME,MPV_MIX,0.99866664
Car,PPV_MIX,0.9261111
CBF,ZC,0.99885184
Chinatown,MIPV,0.97269195
ChlorineConcentration,ZC_DIFF,0.7894444
CinCECGTorso,ZC_DIFF,0.9816667
Coffee,MPV,1
Computers,PPV_MIX,0.8493332
CricketX,PPV,0.8246153
CricketY,ZC_MIX,0.8422223
CricketZ,ZC,0.8452137
Crop,MPV_MIX,0.7694107
DiatomSizeReduction,MIPV_MIX,0.9594771
DistalPhalanxOutlineAgeGroup,MPV_DIFF,0.80815345
DistalPhalanxOutlineCorrect,PPV_DIFF,0.8402174
DistalPhalanxTW,MPV_DIFF,0.7007193
Earthquakes,MIPV,0.75179857
ECG200,PPV,0.9003334
ECG5000,MPV_MIX,0.94739264
ECGFiveDays,ZC,0.9972512
ElectricDevices,PPV_MIX,0.89213675
EOGHorizontalSignal,MPV_MIX,0.8665745
EOGVerticalSignal,MPV_MIX,0.8161141
EthanolLevel,MIPV,0.71873325
FaceAll,MPV_MIX,0.98621297
FaceFour,PPV,0.9397727
FacesUCR,MIPV,0.971496
FiftyWords,PPV_MIX,0.83663005
Fish,PPV_DIFF,0.9819047
FordA,ZC_DIFF,0.96747476
FordB,ZC_DIFF,0.93448555
FreezerRegularTrain,PPV_MIX,0.9993684
FreezerSmallTrain,LSPV_MIX,0.9940117
GunPoint,LSPV_MIX,0.99822223
GunPointAgeSpan,LSPV_MIX,0.99746835
GunPointMaleVersusFemale,ZC,1
GunPointOldVersusYoung,PPV,1
Ham,MIPV,0.8511112
HandOutlines,MIPV_MIX,0.94594586
Haptics,MPV,0.55833334
Herring,MIPV_MIX,0.6458333
HouseTwenty,ZC,0.9759103
InlineSkate,MPV_MIX,0.52848494
InsectEPGRegularTrain,PPV,1
InsectEPGSmallTrain,MPV_MIX,1
InsectWingbeatSound,MIPV_MIX,0.6692425
ItalyPowerDemand,MPV_DIFF,0.9663104
LargeKitchenAppliances,MPV_MIX,0.9289778
Lightning2,MPV,0.7765027
Lightning7,MPV_MIX,0.8068494
Mallat,ZC_MIX,0.9847902
Meat,MPV,0.995
MedicalImages,PPV,0.80570185
MiddlePhalanxOutlineAgeGroup,MIPV_DIFF,0.67034626
MiddlePhalanxOutlineCorrect,PPV_MIX,0.8513174
MiddlePhalanxTW,ZC_DIFF,0.57229435
MixedShapesRegularTrain,ZC_DIFF,0.9792577
MixedShapesSmallTrain,ZC_DIFF,0.95973885
MoteStrain,PPV_MIX,0.9160011
NonInvasiveFetalECGThorax1,MPV_MIX,0.96251047
NonInvasiveFetalECGThorax2,PPV_MIX,0.9668872
OliveOil,LSPV,0.92111105
OSULeaf,ZC_DIFF,0.97300273
PhalangesOutlinesCorrect,PPV_MIX,0.855439
Phoneme,ZC_MIX,0.37241563
PigAirwayPressure,ZC,0.96089745
PigArtPressure,ZC,0.97291666
PigCVP,ZC_MIX,0.926923
Plane,PPV,1
PowerCons,MIPV,0.9866667
ProximalPhalanxOutlineAgeGroup,ZC,0.8520325
ProximalPhalanxOutlineCorrect,ZC_MIX,0.9104239
ProximalPhalanxTW,MIPV_DIFF,0.807317
RefrigerationDevices,ZC_MIX,0.7839111
Rock,MIPV_DIFF,0.87399995
ScreenType,ZC_MIX,0.6735112
SemgHandGenderCh2,MIPV,0.95272225
SemgHandMovementCh2,MIPV,0.7916297
SemgHandSubjectCh2,MIPV,0.931926
ShapeletSim,LSPV,1
ShapesAll,LSPV_MIX,0.9420001
SmallKitchenAppliances,ZC_MIX,0.82871115
SmoothSubspace,MIPV_MIX,0.9724444
SonyAIBORobotSurface1,MPV_MIX,0.960122
SonyAIBORobotSurface2,PPV_MIX,0.9588667
StarLightCurves,PPV_MIX,0.9817832
Strawberry,PPV_MIX,0.97990996
SwedishLeaf,PPV_MIX,0.97322667
Symbols,PPV_DIFF,0.97745395
SyntheticControl,ZC_MIX,0.99633324
ToeSegmentation1,ZC,0.9440059
ToeSegmentation2,LSPV,0.9487179
Trace,PPV,1
TwoLeadECG,MPV_MIX,0.99833184
TwoPatterns,MPV,0.99999166
UMD,PPV_MIX,0.99143517
UWaveGestureLibraryAll,MIPV_MIX,0.9827935
UWaveGestureLibraryX,ZC_MIX,0.8650009
UWaveGestureLibraryY,PPV_MIX,0.8004283
UWaveGestureLibraryZ,PPV_MIX,0.80905455
Wafer,ZC_DIFF,0.9999838
Wine,MPV,0.9364198
WordSynonyms,PPV_MIX,0.77560085
Worms,ZC_MIX,0.77142847
WormsTwoClass,LSPV,0.8069265
Yoga,ZC_MIX,0.9339555
