dataset,MEAN Accuracy
ACSF1,0.8270000000000001
Adiac,0.826001705029838
ArrowHead,0.8868571428571428
Beef,0.792222222222222
BeetleFly,0.9099999999999999
BirdChicken,0.9016666666666666
BME,0.9917777777777776
Car,0.9149999999999998
CBF,0.9962962962962963
Chinatown,0.9665694849368318
ChlorineConcentration,0.783984375
CinCECGTorso,0.9719323671497585
Coffee,0.9988095238095238
Computers,0.8485333333333333
CricketX,0.8185470085470086
CricketY,0.8338461538461537
CricketZ,0.8384615384615385
Crop,0.7669265873015872
DiatomSizeReduction,0.948148148148148
DistalPhalanxOutlineAgeGroup,0.7966426858513189
DistalPhalanxOutlineCorrect,0.8392512077294685
DistalPhalanxTW,0.7019184652278178
Earthquakes,0.7424460431654677
ECG200,0.8936666666666667
ECG5000,0.9462592592592594
ECGFiveDays,0.9906697638404955
ElectricDevices,0.8913802792547441
EOGHorizontalSignal,0.8547882136279926
EOGVerticalSignal,0.8104051565377532
EthanolLevel,0.7066666666666666
FaceAll,0.9835502958579881
FaceFour,0.9390151515151514
FacesUCR,0.9680487804878048
FiftyWords,0.8311355311355313
Fish,0.978857142857143
FordA,0.9661868686868686
FordB,0.9266666666666666
FreezerRegularTrain,0.9991578947368421
FreezerSmallTrain,0.9879298245614035
GunPoint,0.9937777777777778
GunPointAgeSpan,0.9930379746835443
GunPointMaleVersusFemale,0.9998945147679325
GunPointOldVersusYoung,1.0
Ham,0.8485714285714286
HandOutlines,0.9381081081081081
Haptics,0.5109307359307359
Herring,0.6057291666666667
HouseTwenty,0.9711484593837536
InlineSkate,0.502060606060606
InsectEPGRegularTrain,1.0
InsectEPGSmallTrain,0.9870147255689427
InsectWingbeatSound,0.6608080808080807
ItalyPowerDemand,0.9636540330417882
LargeKitchenAppliances,0.9241777777777778
Lightning2,0.7322404371584701
Lightning7,0.7940639269406392
Mallat,0.9812508884150676
Meat,0.992777777777778
MedicalImages,0.7994298245614035
MiddlePhalanxOutlineAgeGroup,0.6551948051948052
MiddlePhalanxOutlineCorrect,0.8487972508591066
MiddlePhalanxTW,0.5517316017316017
MixedShapesRegularTrain,0.9779518900343643
MixedShapesSmallTrain,0.9536769759450173
MoteStrain,0.9080404685835997
NonInvasiveFetalECGThorax1,0.9602205258693808
NonInvasiveFetalECGThorax2,0.9651569126378287
OliveOil,0.9066666666666666
OSULeaf,0.9714876033057852
PhalangesOutlinesCorrect,0.8512820512820514
Phoneme,0.368706047819972
PigAirwayPressure,0.9629807692307691
PigArtPressure,0.9652243589743588
PigCVP,0.9217948717948717
Plane,1.0
PowerCons,0.981851851851852
ProximalPhalanxOutlineAgeGroup,0.8458536585365853
ProximalPhalanxOutlineCorrect,0.9095074455899199
ProximalPhalanxTW,0.8037398373983742
RefrigerationDevices,0.7835555555555554
Rock,0.8326666666666666
ScreenType,0.6716444444444445
SemgHandGenderCh2,0.9535555555555555
SemgHandMovementCh2,0.7931111111111112
SemgHandSubjectCh2,0.9300740740740743
ShapeletSim,0.9996296296296295
ShapesAll,0.9403333333333335
SmallKitchenAppliances,0.8256888888888889
SmoothSubspace,0.969111111111111
SonyAIBORobotSurface1,0.9486411536328341
SonyAIBORobotSurface2,0.9525358516963974
StarLightCurves,0.9813420754411529
Strawberry,0.9800900900900901
SwedishLeaf,0.9718399999999999
Symbols,0.9711892797319931
SyntheticControl,0.9944444444444442
ToeSegmentation1,0.9400584795321638
ToeSegmentation2,0.941025641025641
Trace,1.0
TwoLeadECG,0.9970734562481708
TwoPatterns,0.9999916666666666
UMD,0.9905092592592593
UWaveGestureLibraryAll,0.981351200446678
UWaveGestureLibraryX,0.8647031453564116
UWaveGestureLibraryY,0.7987623301693653
UWaveGestureLibraryZ,0.8087381351200447
Wafer,0.9997890979883193
Wine,0.9290123456790123
WordSynonyms,0.7694357366771158
Worms,0.7658008658008659
WormsTwoClass,0.7909090909090909
Yoga,0.9318000000000001
