dataset,MEAN Accuracy SelF-Rocket
ACSF1,0.8326666666666667
Adiac,0.8235294117647058
ArrowHead,0.8864761904761905
Beef,0.7844444444444443
BeetleFly,0.9033333333333334
BirdChicken,0.9099999999999998
BME,0.9922222222222221
Car,0.9199999999999998
CBF,0.9947407407407406
Chinatown,0.9662779397473273
ChlorineConcentration,0.7866666666666666
CinCECGTorso,0.9620772946859901
Coffee,0.9988095238095238
Computers,0.8425333333333334
CricketX,0.8223931623931623
CricketY,0.8387179487179488
CricketZ,0.8382905982905983
Crop,0.7657658730158731
DiatomSizeReduction,0.9520697167755989
DistalPhalanxOutlineAgeGroup,0.7997601918465228
DistalPhalanxOutlineCorrect,0.8422705314009662
DistalPhalanxTW,0.6976019184652279
Earthquakes,0.7410071942446044
ECG200,0.8920000000000001
ECG5000,0.9462814814814815
ECGFiveDays,0.9901664730933023
ElectricDevices,0.8923269787749103
EOGHorizontalSignal,0.8578268876611418
EOGVerticalSignal,0.8072744014732964
EthanolLevel,0.7078666666666665
FaceAll,0.9833530571992113
FaceFour,0.9378787878787879
FacesUCR,0.9694634146341463
FiftyWords,0.8335531135531137
Fish,0.9800000000000002
FordA,0.9501515151515153
FordB,0.9258024691358027
FreezerRegularTrain,0.9989239766081872
FreezerSmallTrain,0.9882690058479534
GunPointAgeSpan,0.9935654008438818
GunPoint,0.995111111111111
GunPointMaleVersusFemale,1.0
GunPointOldVersusYoung,1.0
Ham,0.8495238095238096
HandOutlines,0.940900900900901
Haptics,0.5332251082251083
Herring,0.6067708333333334
HouseTwenty,0.965546218487395
InlineSkate,0.5032121212121212
InsectEPGRegularTrain,0.9995983935742973
InsectEPGSmallTrain,0.9911646586345382
InsectWingbeatSound,0.6608080808080811
ItalyPowerDemand,0.9633624878522837
LargeKitchenAppliances,0.9288
Lightning2,0.7480874316939893
Lightning7,0.7922374429223744
Mallat,0.9547832267235251
Meat,0.992777777777778
MedicalImages,0.7996052631578947
MiddlePhalanxOutlineAgeGroup,0.6627705627705627
MiddlePhalanxOutlineCorrect,0.8484536082474228
MiddlePhalanxTW,0.5484848484848486
MixedShapesRegularTrain,0.9759999999999999
MixedShapesSmallTrain,0.9490034364261167
MoteStrain,0.901384451544196
NonInvasiveFetalECGThorax1,0.961153519932146
NonInvasiveFetalECGThorax2,0.9653604749787957
OliveOil,0.91
OSULeaf,0.965702479338843
PhalangesOutlinesCorrect,0.8498057498057496
Phoneme,0.34528832630098455
PigAirwayPressure,0.9322115384615385
PigArtPressure,0.9564102564102565
PigCVP,0.9084935897435897
Plane,1.0
PowerCons,0.9798148148148148
ProximalPhalanxOutlineAgeGroup,0.8463414634146341
ProximalPhalanxOutlineCorrect,0.9084765177548684
ProximalPhalanxTW,0.804227642276423
RefrigerationDevices,0.746311111111111
Rock,0.8366666666666668
ScreenType,0.6298666666666667
SemgHandGenderCh2,0.9530555555555555
SemgHandMovementCh2,0.7917777777777779
SemgHandSubjectCh2,0.9314814814814815
ShapeletSim,0.9998148148148148
ShapesAll,0.9418888888888889
SmallKitchenAppliances,0.8249777777777776
SmoothSubspace,0.9666666666666666
SonyAIBORobotSurface1,0.9450360510260677
SonyAIBORobotSurface2,0.9528156698146205
StarLightCurves,0.9816294317629917
Strawberry,0.9800900900900902
SwedishLeaf,0.9725333333333331
Symbols,0.9707202680067001
SyntheticControl,0.9908888888888886
ToeSegmentation1,0.9377192982456142
ToeSegmentation2,0.9341025641025639
Trace,1.0
TwoLeadECG,0.9948492829967808
TwoPatterns,0.9997500000000001
UMD,0.9898148148148149
UWaveGestureLibraryAll,0.9814721756932813
UWaveGestureLibraryX,0.8630653266331657
UWaveGestureLibraryY,0.7971152056579192
UWaveGestureLibraryZ,0.8066257211985854
Wafer,0.9997890979883193
Wine,0.9203703703703702
WordSynonyms,0.768808777429467
Worms,0.7346320346320346
WormsTwoClass,0.7822510822510824
Yoga,0.9272222222222223
