dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.9,0.81,0.85,0.85,0.88,0.91,0.81,0.83,0.8,0.85,0.87,0.9,0.86,0.79,0.85,0.86,0.84,0.85,0.89,0.8,0.87,0.82,0.82,0.89,0.85,0.88,0.79,0.8,0.83,0.85
Adiac,0.8414322250639387,0.8388746803069054,0.8132992327365729,0.8005115089514067,0.8695652173913043,0.8414322250639387,0.8107416879795396,0.8286445012787724,0.8260869565217391,0.8209718670076727,0.8158567774936062,0.8388746803069054,0.8209718670076727,0.8260869565217391,0.8363171355498721,0.8414322250639387,0.8388746803069054,0.8260869565217391,0.8337595907928389,0.8465473145780051,0.8235294117647058,0.8618925831202046,0.8516624040920716,0.8414322250639387,0.8235294117647058,0.8491048593350383,0.8363171355498721,0.8516624040920716,0.8772378516624041,0.8414322250639387
ArrowHead,0.8571428571428571,0.88,0.8685714285714285,0.8914285714285715,0.8914285714285715,0.8971428571428571,0.8857142857142857,0.9028571428571428,0.9028571428571428,0.8857142857142857,0.8571428571428571,0.88,0.8171428571428572,0.9142857142857143,0.9085714285714286,0.8857142857142857,0.8342857142857143,0.8857142857142857,0.8628571428571429,0.8857142857142857,0.9142857142857143,0.8628571428571429,0.8285714285714286,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.9542857142857143,0.8857142857142857,0.8914285714285715,0.8514285714285714
Beef,0.8,0.8,0.8,0.7333333333333333,0.8333333333333334,0.6333333333333333,0.8666666666666667,0.6333333333333333,0.9,0.8333333333333334,0.9,0.8,0.8666666666666667,0.5666666666666667,0.9,0.8,0.8,0.7666666666666667,0.6333333333333333,0.8666666666666667,0.7333333333333333,0.9,0.7,0.8,0.7666666666666667,0.6666666666666666,0.7666666666666667,0.8,0.7,0.8
BeetleFly,0.95,1.0,0.95,0.95,0.95,1.0,1.0,0.95,0.9,1.0,0.9,0.95,0.85,0.9,0.85,1.0,0.95,1.0,1.0,0.9,0.95,1.0,0.95,1.0,0.95,0.95,0.95,1.0,0.85,1.0
BirdChicken,0.9,0.85,0.8,1.0,1.0,0.95,0.9,0.75,0.9,0.9,0.9,0.9,0.95,0.85,0.85,0.95,1.0,0.9,0.9,0.95,0.9,0.95,0.95,0.9,0.9,0.9,0.9,0.9,0.9,0.9
BME,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,1.0,0.9933333333333333,0.9866666666666667,0.9866666666666667,1.0
Car,0.9333333333333333,0.9,0.9,0.9666666666666667,0.8666666666666667,0.9,0.9,0.95,0.9,0.95,0.9,0.9166666666666666,0.9,0.9666666666666667,0.9,0.9,0.9,0.8833333333333333,0.9166666666666666,0.9333333333333333,0.9,0.9166666666666666,0.9833333333333333,0.9333333333333333,0.9333333333333333,0.9833333333333333,0.9166666666666666,0.95,0.9,0.9166666666666666
CBF,0.9966666666666667,0.9966666666666667,0.9711111111111111,0.9988888888888889,0.9988888888888889,0.9866666666666667,0.9988888888888889,0.9966666666666667,0.9977777777777778,0.9988888888888889,0.9955555555555555,0.9988888888888889,0.9966666666666667,0.9988888888888889,0.9977777777777778,0.9988888888888889,0.9977777777777778,0.9988888888888889,0.9955555555555555,0.9966666666666667,0.9733333333333334,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9988888888888889,0.9955555555555555,0.9988888888888889
Chinatown,0.9825072886297376,0.9591836734693877,0.9795918367346939,0.967930029154519,0.9591836734693877,0.956268221574344,0.9650145772594753,0.9620991253644315,0.9825072886297376,0.9620991253644315,0.9708454810495627,0.9620991253644315,0.9737609329446064,0.9708454810495627,0.967930029154519,0.9533527696793003,0.9650145772594753,0.9650145772594753,0.9708454810495627,0.9620991253644315,0.9591836734693877,0.9795918367346939,0.9650145772594753,0.9475218658892128,0.9620991253644315,0.9650145772594753,0.9708454810495627,0.9620991253644315,0.967930029154519,0.9620991253644315
ChlorineConcentration,0.77890625,0.7979166666666667,0.771875,0.7794270833333333,0.78203125,0.7768229166666667,0.78203125,0.7895833333333333,0.7690104166666667,0.7484375,0.8010416666666667,0.7583333333333333,0.7966145833333333,0.7802083333333333,0.77890625,0.7604166666666666,0.7895833333333333,0.77578125,0.771875,0.78359375,0.7731770833333333,0.7669270833333334,0.7713541666666667,0.7846354166666667,0.7921875,0.7528645833333333,0.74609375,0.7768229166666667,0.7776041666666667,0.7598958333333333
CinCECGTorso,0.9992753623188406,0.9297101449275362,0.9963768115942029,1.0,1.0,0.9985507246376811,0.9992753623188406,0.9978260869565218,0.9978260869565218,0.9978260869565218,0.9891304347826086,0.9956521739130435,0.9898550724637681,0.9963768115942029,0.9963768115942029,0.9992753623188406,1.0,0.9978260869565218,0.9971014492753624,0.9992753623188406,0.9971014492753624,0.9833333333333333,0.9297101449275362,0.9992753623188406,0.9985507246376811,0.9985507246376811,0.9992753623188406,1.0,1.0,1.0
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,0.9642857142857143,1.0
Computers,0.776,0.884,0.872,0.868,0.88,0.872,0.844,0.84,0.884,0.884,0.884,0.84,0.86,0.916,0.84,0.856,0.868,0.916,0.844,0.876,0.896,0.844,0.86,0.884,0.864,0.884,0.86,0.876,0.872,0.86
CricketX,0.8128205128205128,0.8179487179487179,0.8179487179487179,0.8282051282051283,0.8179487179487179,0.8205128205128205,0.8282051282051283,0.8205128205128205,0.8538461538461538,0.8153846153846154,0.8333333333333334,0.8358974358974359,0.8461538461538461,0.8179487179487179,0.8435897435897436,0.8512820512820513,0.8487179487179487,0.8487179487179487,0.7974358974358975,0.8512820512820513,0.7974358974358975,0.823076923076923,0.8179487179487179,0.8487179487179487,0.823076923076923,0.8128205128205128,0.8384615384615385,0.8358974358974359,0.8538461538461538,0.8128205128205128
CricketY,0.8692307692307693,0.8333333333333334,0.8179487179487179,0.823076923076923,0.8384615384615385,0.8128205128205128,0.841025641025641,0.8538461538461538,0.8589743589743589,0.8564102564102564,0.841025641025641,0.8692307692307693,0.8512820512820513,0.8538461538461538,0.8435897435897436,0.8307692307692308,0.8717948717948718,0.8615384615384616,0.8435897435897436,0.8307692307692308,0.8512820512820513,0.8564102564102564,0.8615384615384616,0.8692307692307693,0.8589743589743589,0.8564102564102564,0.8564102564102564,0.8256410256410256,0.8615384615384616,0.8666666666666667
CricketZ,0.8461538461538461,0.8282051282051283,0.8641025641025641,0.8564102564102564,0.8692307692307693,0.841025641025641,0.8461538461538461,0.8615384615384616,0.8717948717948718,0.8256410256410256,0.8512820512820513,0.8487179487179487,0.8205128205128205,0.8641025641025641,0.8487179487179487,0.823076923076923,0.8282051282051283,0.8564102564102564,0.8333333333333334,0.8564102564102564,0.8615384615384616,0.8282051282051283,0.8512820512820513,0.8384615384615385,0.8512820512820513,0.8589743589743589,0.8461538461538461,0.8025641025641026,0.8333333333333334,0.8692307692307693
