dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.94,0.85,0.8,0.83,0.88,0.89,0.76,0.85,0.74,0.82,0.86,0.89,0.82,0.82,0.85,0.85,0.85,0.88,0.85,0.74,0.79,0.76,0.8,0.89,0.82,0.89,0.79,0.73,0.86,0.88
Adiac,0.8235294117647058,0.8439897698209718,0.7953964194373402,0.80306905370844,0.8439897698209718,0.8286445012787724,0.8235294117647058,0.8184143222506394,0.8132992327365729,0.8260869565217391,0.8158567774936062,0.8286445012787724,0.8056265984654731,0.8056265984654731,0.8286445012787724,0.8260869565217391,0.8184143222506394,0.8005115089514067,0.8081841432225064,0.8312020460358056,0.8056265984654731,0.8363171355498721,0.8388746803069054,0.8209718670076727,0.7953964194373402,0.8363171355498721,0.8465473145780051,0.8312020460358056,0.8670076726342711,0.8388746803069054
ArrowHead,0.8514285714285714,0.8857142857142857,0.88,0.9028571428571428,0.9085714285714286,0.8742857142857143,0.88,0.8971428571428571,0.9085714285714286,0.92,0.8571428571428571,0.92,0.7771428571428571,0.92,0.9142857142857143,0.9085714285714286,0.8342857142857143,0.9085714285714286,0.8914285714285715,0.8971428571428571,0.9142857142857143,0.8685714285714285,0.8285714285714286,0.8742857142857143,0.9142857142857143,0.8742857142857143,0.9142857142857143,0.88,0.9257142857142857,0.8628571428571429
Beef,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.9333333333333333,0.6333333333333333,0.8333333333333334,0.7,0.9,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.6,0.9333333333333333,0.7333333333333333,0.7666666666666667,0.7333333333333333,0.6333333333333333,0.8,0.7666666666666667,0.9333333333333333,0.8,0.7666666666666667,0.7666666666666667,0.7,0.7666666666666667,0.9,0.8,0.7
BeetleFly,0.95,0.95,0.8,0.95,0.85,0.95,1.0,0.9,0.85,0.95,0.95,0.85,0.8,0.8,0.75,0.95,0.9,1.0,0.95,0.9,0.9,1.0,0.9,1.0,0.9,1.0,0.85,0.9,0.8,0.85
BirdChicken,1.0,0.9,0.8,1.0,0.95,0.8,0.9,0.8,0.85,0.9,0.9,0.9,0.95,0.9,0.9,0.95,1.0,0.9,0.9,0.95,0.9,0.95,0.95,1.0,0.85,0.9,0.9,0.9,0.9,0.9
BME,1.0,0.9933333333333333,0.9933333333333333,1.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.98,0.9933333333333333,1.0,1.0,0.9866666666666667,0.98,0.9933333333333333,0.9933333333333333,0.9866666666666667,1.0,1.0,1.0,0.9866666666666667,0.9866666666666667,0.98,0.9933333333333333,0.9933333333333333,1.0,0.9733333333333334,0.9733333333333334,0.9933333333333333
Car,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.95,0.9,0.9166666666666666,0.9,0.9666666666666667,0.9,0.9166666666666666,0.9,0.8833333333333333,0.9166666666666666,0.9666666666666667,0.9166666666666666,0.9166666666666666,0.9333333333333333,0.9,0.8666666666666667,0.95,0.9166666666666666,0.8833333333333333,0.9833333333333333,0.9166666666666666,0.9333333333333333,0.9166666666666666,0.9666666666666667,0.9333333333333333,0.9,0.9
CBF,0.9988888888888889,0.9988888888888889,0.9688888888888889,0.9977777777777778,1.0,0.99,0.9988888888888889,0.9988888888888889,0.9977777777777778,1.0,0.9933333333333333,0.9988888888888889,0.9977777777777778,1.0,0.9977777777777778,1.0,0.9988888888888889,0.9922222222222222,0.9922222222222222,0.9966666666666667,0.9766666666666667,0.9988888888888889,1.0,1.0,0.9988888888888889,1.0,1.0,0.9988888888888889,0.9522222222222222,0.9988888888888889
Chinatown,0.9795918367346939,0.9591836734693877,0.9825072886297376,0.967930029154519,0.9620991253644315,0.9620991253644315,0.9650145772594753,0.9620991253644315,0.9766763848396501,0.9620991253644315,0.9708454810495627,0.9650145772594753,0.9766763848396501,0.9766763848396501,0.9708454810495627,0.956268221574344,0.9620991253644315,0.967930029154519,0.9708454810495627,0.956268221574344,0.9591836734693877,0.9650145772594753,0.9591836734693877,0.9650145772594753,0.9591836734693877,0.967930029154519,0.9737609329446064,0.9533527696793003,0.967930029154519,0.9650145772594753
