dataset,PPV,GMP,MPV,MIPV,LSPV,PPV_DIFF,GMP_DIFF,MPV_DIFF,MIPV_DIFF,LSPV_DIFF,PPV_MIX,GMP_MIX,MPV_MIX,MIPV_MIX,LSPV_MIX,BEST_PO_GT,BEST_OVERALL,BEST_PO_KF,PERFORMANCE,DIFF
ACSF1,0.8276667,0.55,0.82966673,0.69233334,0.85266674,0.799,0.606,0.818,0.686,0.84400004,0.8220001,0.6140001,0.8303334,0.7046667,0.8556667,LSPV_MIX,0.8556667,LSPV,0.85266674,0.0029999600000000237
ChlorineConcentration,0.7541927,0.7344531,0.7175001,0.75863713,0.7329341,0.78690106,0.82526046,0.780677,0.7854602,0.75642365,0.7815451,0.81858516,0.775868,0.7864844,0.75810754,GMP_DIFF,0.82526046,GMP_DIFF,0.82526046,0.0
Computers,0.80160016,0.73120004,0.8143999,0.72893333,0.7936001,0.84840006,0.6734666,0.82226664,0.7496001,0.7994667,0.8486668,0.73866665,0.8456,0.7574667,0.8260001,PPV_MIX,0.8486668,PPV_DIFF,0.84840006,0.00026674000000004305
CricketX,0.8261538,0.7326496,0.81247866,0.79512817,0.80769235,0.7076069,0.50564104,0.68615395,0.6548719,0.6940171,0.8173504,0.74188036,0.8186325,0.7819658,0.79735035,PPV,0.8261538,PPV,0.8261538,0.0
CricketY,0.8423931,0.74606836,0.82512814,0.7946153,0.81452996,0.68760693,0.4569231,0.6747864,0.65803427,0.6807692,0.8351282,0.75059825,0.8292307,0.8007692,0.8077778,PPV,0.8423931,PPV,0.8423931,0.0
CricketZ,0.84247863,0.7586325,0.83418804,0.81196576,0.8244445,0.72179496,0.49692306,0.70230776,0.65418804,0.71683764,0.83136755,0.76358974,0.83692306,0.7965812,0.8217093,PPV,0.84247863,PPV,0.84247863,0.0
DistalPhalanxOutlineAgeGroup,0.79424447,0.7812949,0.7966426,0.8011991,0.796163,0.8016786,0.7731415,0.81031173,0.8040766,0.7956835,0.797362,0.7752998,0.79616314,0.8004796,0.8019184,MPV_DIFF,0.81031173,PPV_DIFF,0.8016786,0.008633129999999989
DistalPhalanxOutlineCorrect,0.82439625,0.79830915,0.8257246,0.8294685,0.82729465,0.8397342,0.8091787,0.8332126,0.8385266,0.82801926,0.8392512,0.8143719,0.8367149,0.8380435,0.8346618,PPV_DIFF,0.8397342,MIPV_MIX,0.8380435,0.001690699999999934
DistalPhalanxTW,0.6949639,0.67841727,0.69808155,0.69472414,0.6906475,0.6990407,0.6738609,0.6995204,0.68249404,0.68896884,0.69808155,0.676259,0.6966426,0.68848914,0.68944854,MPV_DIFF,0.6995204,MIPV,0.69472414,0.004796259999999997
Earthquakes,0.7378897,0.73453236,0.7393285,0.7496403,0.73956835,0.74604315,0.7170264,0.74196637,0.74820143,0.7482014,0.74124694,0.73741,0.7414868,0.75203836,0.7443645,MIPV_MIX,0.75203836,LSPV_DIFF,0.7482014,0.0038369600000000004
