dataset,TIME_CREATION_FEATURES,TIME_PO_SELECTION,TIME_TRAIN_CLASSIFIER,TIME_TEST_CLASSIFIER
ACSF1,1.865183703104655,0.9396458705266316,0.03440972963968913,0.007078242301940918
ChlorineConcentration,2.004618215560913,3.318059968948364,0.18232168356577555,0.15066201686859132
Computers,2.8514686981836954,1.8716086228688558,0.07479468186696371,0.009315387407938639
CricketX,2.316758561134338,2.945219389597575,0.130233097076416,0.025328699747721353
CricketY,2.3440154949824015,2.944297933578491,0.13222533067067463,0.02491614818572998
CricketZ,2.3198291699091595,2.934964108467102,0.13218899567921957,0.02640798091888428
DistalPhalanxOutlineAgeGroup,1.0249091148376466,2.9171465476353964,0.13400923411051432,0.004944125811258952
DistalPhalanxOutlineCorrect,1.506636635462443,3.8708018620808917,0.23585816224416098,0.010051321983337403
DistalPhalanxTW,1.0340495745340983,2.9443122069040935,0.13626470565795898,0.007237935066223144
Earthquakes,3.361324175198873,2.39892840385437,0.10741628805796305,0.004701542854309082
ECG200,0.3502242644627889,0.8540547609329223,0.03009323279062907,0.004001585642496744
EOGHorizontalSignal,6.543694519996643,2.8524409929911294,0.1453026533126831,0.03024592399597168
EOGVerticalSignal,6.638297708829244,2.8794824361801146,0.13717530568440756,0.027745699882507323
EthanolLevel,11.209757550557454,3.5725786447525025,0.190716822942098,0.02222885290781657
FaceAll,1.9426365454991659,4.124338253339132,0.24395594596862794,0.07670822938283285
Fish,1.2357929309209188,1.4641945044199625,0.05838767687479655,0.009247867266337077
FreezerRegularTrain,0.9708250443140666,1.0571087837219237,0.03507997989654541,0.08792825539906819
GunPointAgeSpan,0.4777263005574544,1.0346810420354207,0.03903076648712158,0.013144636154174804
GunPointMaleVersusFemale,0.47983892758687335,1.0736753304799398,0.03465867042541504,0.011410291989644368
GunPointOldVersusYoung,0.4708672205607096,0.9889275709788005,0.03331007957458496,0.01101824442545573
Ham,0.8127616167068481,0.8193129857381185,0.030712970097859702,0.0039644002914428714
Haptics,2.264587465922038,1.2560759782791138,0.04225482940673828,0.015231482187906901
InlineSkate,3.2508459170659383,0.8563376506169637,0.03808139165242513,0.041864720980326335
InsectWingbeatSound,1.010761555035909,1.9357275247573853,0.08138291835784912,0.10802470048268636
LargeKitchenAppliances,3.3721854368845623,2.768940218289693,0.1471163272857666,0.020227766036987303
MedicalImages,1.0371158281962076,2.9201151609420775,0.14666001001993814,0.05465587774912516
MiddlePhalanxOutlineAgeGroup,1.0013856808344523,2.926173694928487,0.12478841145833333,0.005815879503885905
MiddlePhalanxOutlineCorrect,1.4899884541829427,3.864824374516805,0.22822792530059816,0.009118183453877767
MixedShapesRegularTrain,6.908194184303284,3.5734772443771363,0.22208762963612874,0.1048021157582601
MixedShapesSmallTrain,1.5738271792729697,0.839230998357137,0.028871798515319826,0.10526781876881917
OSULeaf,1.4239533424377442,1.6174038330713907,0.07028996149698893,0.015123756726582845
Plane,0.40899728139241537,0.961974294980367,0.029218236605326336,0.005421932538350423
PowerCons,0.6870001077651977,1.3450101375579835,0.05391289393107097,0.006941954294840495
ProximalPhalanxOutlineAgeGroup,1.0022729237874348,2.94566650390625,0.13768515586853028,0.00746455987294515
ProximalPhalanxOutlineCorrect,1.4755839745203654,3.8685280164082845,0.22439042727152506,0.009804439544677735
ProximalPhalanxTW,1.0057525316874185,2.9346556425094605,0.12519120375315348,0.010232885678609213
ScreenType,3.8550569375356036,2.733022356033325,0.12502282460530598,0.016457255681355795
SemgHandGenderCh2,8.50467454592387,2.252134847640991,0.094629700978597,0.021487649281819662
SemgHandMovementCh2,13.059172757466634,3.308721152941386,0.16187132199605306,0.021417268117268882
SemgHandSubjectCh2,12.698229662577312,3.290380422274272,0.1573455254236857,0.0216154416402181
ShapesAll,4.63942092259725,4.86899033387502,0.3984238545099894,0.04826815128326416
SmoothSubspace,0.3002140522003174,1.2837310711542764,0.06320830980936686,0.007918564478556316
SwedishLeaf,1.6124314705530802,3.7007844050725303,0.27154928843180337,0.04764031569163005
SyntheticControl,0.7467170397440592,2.4874711513519285,0.09442072709401449,0.0159223477045695
Trace,0.6347431262334188,0.8294074773788452,0.024355737368265788,0.004429785410563151
UWaveGestureLibraryX,4.419705192248027,7.732436362902323,0.5532765070597331,0.1957679828008016
UWaveGestureLibraryY,4.568338616689046,7.795312364896138,0.5924056847890218,0.21341944535573323
UWaveGestureLibraryZ,4.413685385386149,7.739756441116333,0.5601122299830119,0.19871163368225098
Worms,2.699584205945333,1.4608969211578369,0.07098519007364909,0.0055843830108642575
WormsTwoClass,2.6101202805836996,1.4390149513880413,0.06477996508280436,0.0028275012969970702
