dataset,PPV,GMP,MPV,MIPV,LSPV,PPV_DIFF,GMP_DIFF,MPV_DIFF,MIPV_DIFF,LSPV_DIFF,PPV_MIX,GMP_MIX,MPV_MIX,MIPV_MIX,LSPV_MIX,BEST_PO_GT,BEST_OVERALL,BEST_PO_KF,PERFORMANCE,DIFF
ACSF1,0.8276667,0.55,0.82966673,0.69233334,0.85266674,0.799,0.606,0.818,0.686,0.84400004,0.8220001,0.6140001,0.8303334,0.7046667,0.8556667,LSPV_MIX,0.8556667,LSPV,0.85266674,0.0029999600000000237
Adiac,0.8026428,0.70920724,0.80144924,0.7878091,0.7994032,0.8219096,0.64884907,0.79676044,0.7543905,0.7952259,0.8285592,0.71619785,0.8204603,0.7908781,0.8151749,PPV_MIX,0.8285592,PPV_MIX,0.8285592,0.0
ArrowHead,0.8815238,0.8634285,0.87600005,0.85847604,0.88914275,0.8790476,0.83409524,0.85771435,0.8121905,0.88571423,0.8870476,0.8666666,0.8805714,0.8504762,0.89485705,LSPV_MIX,0.89485705,PPV_DIFF,0.8790476,0.015809450000000003
Beef,0.7699999,0.61444443,0.7522222,0.7355555,0.6866666,0.77777785,0.6622222,0.71555555,0.77777773,0.6755555,0.79666656,0.6888889,0.7455555,0.7744445,0.7055556,PPV_MIX,0.79666656,PPV_MIX,0.79666656,0.0
BeetleFly,0.91,0.83,0.8566666,0.88,0.8683334,0.90833324,0.915,0.9066668,0.88833326,0.87166667,0.9183333,0.8766667,0.88500005,0.91,0.87833333,PPV_MIX,0.9183333,GMP_DIFF,0.915,0.0033332999999999835
BirdChicken,0.9200001,0.9033334,0.8983333,0.83666664,0.91333336,0.9066666,0.9333333,0.9183333,0.88,0.89833325,0.90166664,0.9133333,0.885,0.8533333,0.90166664,GMP_DIFF,0.9333333,PPV_DIFF,0.9066666,0.026666700000000043
BME,0.9917778,0.9815556,0.9973334,0.9931112,0.9273333,0.9813333,0.96400005,0.9977778,0.99288887,0.9208888,0.992,0.9840001,0.99866664,0.9946667,0.93955547,MPV_MIX,0.99866664,PPV,0.9917778,0.006888840000000007
Car,0.9177778,0.8727778,0.9144443,0.91611105,0.88833326,0.91055554,0.76,0.8916666,0.88888896,0.8394445,0.92611104,0.8633334,0.9233332,0.9199999,0.8933333,PPV_MIX,0.92611104,PPV_MIX,0.92611104,0.0
CBF,0.9961851,0.98700005,0.99403703,0.9608517,0.9939259,0.8322964,0.7633704,0.80925924,0.797074,0.8162593,0.9935556,0.97688884,0.9924444,0.9438149,0.98877776,PPV,0.9961851,PPV,0.9961851,0.0
Chinatown,0.9687075,0.95170075,0.9665695,0.9727891,0.9614188,0.9583091,0.9038874,0.94878525,0.9635569,0.9470359,0.96559775,0.9418853,0.9603499,0.97142863,0.9595724,MIPV,0.9727891,MIPV_MIX,0.97142863,0.001360469999999947
ChlorineConcentration,0.7541927,0.7344531,0.7175001,0.75863713,0.7329341,0.78690106,0.82526046,0.780677,0.7854602,0.75642365,0.7815451,0.81858516,0.775868,0.7864844,0.75810754,GMP_DIFF,0.82526046,PPV_DIFF,0.78690106,0.03835939999999993
CinCECGTorso,0.8757729,0.8047583,0.87024146,0.9369566,0.8727295,0.9579467,0.7579229,0.92833334,0.96589375,0.8657729,0.92557985,0.8078502,0.9073913,0.96089375,0.89555556,MIPV_DIFF,0.96589375,MIPV_DIFF,0.96589375,0.0
Coffee,0.9988095,0.9988095,0.9988095,1,1,0.98690474,0.97261894,0.9988096,0.99642855,0.9857143,0.99761903,0.99285716,1,1,1,MIPV,1,GMP,0.9988095,0.0011904999999999832
Computers,0.80160016,0.73120004,0.8143999,0.72893333,0.7936001,0.84840006,0.6734666,0.82226664,0.7496001,0.7994667,0.8486668,0.73866665,0.8456,0.7574667,0.8260001,PPV_MIX,0.8486668,PPV_DIFF,0.84840006,0.00026674000000004305
